ID,ISSUE_DATE,PERMIT_TYPE,LATITUDE,LONGITUDE, ESTIMATED_COST ,ISSUE_YEAR,Min_Cost
2888307,2/20/2018,PERMIT - NEW CONSTRUCTION,42.00443557,-87.81116435,"$13,000,000.00 ",2018,9.00E+05
2876791,3/14/2018,PERMIT - NEW CONSTRUCTION,41.92897462,-87.67185982,"$13,000,000.00 ",2018,9.00E+05
2943337,7/2/2018,PERMIT - RENOVATION/ALTERATION,41.99256422,-87.69839748,"$13,000,000.00 ",2018,9.00E+05
2752736,9/22/2017,PERMIT - NEW CONSTRUCTION,41.9311871,-87.76479651,"$13,200,000.00 ",2017,875407.73
2763988,1/6/2017,PERMIT - NEW CONSTRUCTION,41.91978063,-87.63712448,"$13,500,000.00 ",2017,875407.73
2827845,5/16/2017,PERMIT - NEW CONSTRUCTION,41.91978063,-87.63712448,"$13,500,000.00 ",2017,875407.73
2829753,6/19/2017,PERMIT - RENOVATION/ALTERATION,41.91830362,-87.64597389,"$13,500,000.00 ",2017,875407.73
2889720,1/12/2018,PERMIT - RENOVATION/ALTERATION,41.93860344,-87.64975307,"$13,794,297.00 ",2018,9.00E+05
2812729,4/3/2017,PERMIT - NEW CONSTRUCTION,41.87171755,-87.62431278,"$14,000,000.00 ",2017,875407.73
2816025,6/15/2017,PERMIT - NEW CONSTRUCTION,41.92454803,-87.64729385,"$14,000,000.00 ",2017,875407.73
2829906,7/11/2017,PERMIT - RENOVATION/ALTERATION,41.83709246,-87.71870452,"$14,000,000.00 ",2017,875407.73
2858994,6/26/2017,PERMIT - NEW CONSTRUCTION,41.88668683,-87.6476511,"$14,000,000.00 ",2017,875407.73
2899509,12/1/2017,PERMIT - RENOVATION/ALTERATION,41.88668683,-87.6476511,"$14,000,000.00 ",2017,875407.73
2857573,11/2/2017,PERMIT - NEW CONSTRUCTION,41.91812396,-87.6892906,"$14,229,000.00 ",2017,875407.73
2922006,4/18/2018,PERMIT - RENOVATION/ALTERATION,41.93189772,-87.72710503,"$14,250,000.00 ",2018,9.00E+05
2869614,9/11/2017,PERMIT - RENOVATION/ALTERATION,41.88449949,-87.63523358,"$14,500,000.00 ",2017,875407.73
2878756,10/23/2017,PERMIT - RENOVATION/ALTERATION,41.88637741,-87.62438167,"$14,500,000.00 ",2017,875407.73
2819321,6/12/2017,PERMIT - NEW CONSTRUCTION,41.90989805,-87.71549655,"$14,600,000.00 ",2017,875407.73
2758791,3/31/2017,PERMIT - RENOVATION/ALTERATION,41.89335935,-87.62984515,"$15,000,000.00 ",2017,875407.73
2792691,2/23/2017,PERMIT - NEW CONSTRUCTION,41.69294194,-87.60460692,"$15,000,000.00 ",2017,875407.73
